Issue Type,Issue key,Issue id,Summary,Status,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Подготовка актов и счетов,BUH-118611,1270307,Выставление актов: проценты по займу за апрель 2026 - ADM-51574,Waiting for Pay,отправлено,mariya.saveleva,,,,12.05.2026 11:22,,,mariya.saveleva,,-,30.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118608,1270293,Выставление актов: NDS2500001,Waiting for Pay,,anastasiya.pisareva,,,n.chubukinasolovey,12.05.2026 11:01,,,n.chubukinasolovey,,D_NDS2500002/2,15.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118453,1268790,Выставление актов: VISAUAE2600037,Waiting for Pay,,anastasiya.pisareva,,,n.chubukinasolovey,06.05.2026 12:38,,,n.chubukinasolovey,,D_VISAUAE2600038/1,06.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118416,1268407,Выставление актов: VISAUAE2600038,Waiting for Pay,,anastasiya.pisareva,,,ekaterina.fomina,05.05.2026 15:45,,,n.chubukinasolovey,,D_VISAUAE2600039/2,05.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118181,1265196,Выставление актов: VISAUAE2600033,Closed,,anastasiya.lysenko,29.04.2026 15:51,Отклонено,,28.04.2026 16:15,,,mariya.saveleva,,D_VISAUAE2600033/4,30.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118180,1265195,Выставление актов: VISAUAE2600033,Waiting for Pay,,anastasiya.lysenko,,,mariya.saveleva,28.04.2026 16:15,,,mariya.saveleva,,D_VISAUAE2600033/4,29.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118167,1264982,Выставление актов: VISAUAE2500028,Waiting for Pay,,aleksandr.prilepskiy,,,n.chubukinasolovey,28.04.2026 11:31,,,n.chubukinasolovey,,D_VISAUAE2500028/7,04.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118124,1264500,Выставление актов: VISAUAE2500031,Closed,,anastasiya.pisareva,05.06.2026 09:58,Исправлено/Выполнено,mariya.saveleva,27.04.2026 12:52,04.06.2026 00:00,,mariya.saveleva,,D_VISAUAE2500026/7,27.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-118123,1264499,Выставление актов: KBAZ2600026,Waiting for Pay,,zaur.ibrahimov,,,mariya.saveleva,27.04.2026 12:52,,,mariya.saveleva,,D_KBAZ2600012/1,25.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117829,1260769,Выставление актов: VISAUAE2600035,Waiting for Pay,,ekaterina.krepp,,,n.chubukinasolovey,16.04.2026 14:34,,,n.chubukinasolovey,,D_VISAUAE2600036/1,06.05.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117784,1260448,Выставление актов: VISAUAE2600038,Closed,,anastasiya.pisareva,28.05.2026 09:40,Исправлено/Выполнено,n.chubukinasolovey,15.04.2026 17:11,27.05.2026 00:00,,n.chubukinasolovey,,D_VISAUAE2600039/1,20.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117724,1259699,"Выставление актов: SMH2500003, SMH2500002",Closed,,anastasiya.pisareva,20.05.2026 11:23,Отклонено,n.chubukinasolovey,14.04.2026 12:26,,,n.chubukinasolovey,,D_SMH2500001/1,31.05.2026 00:00,DBSA - Databorn Company Limited LLC,
Подготовка актов и счетов,BUH-117282,1256235,Выставление актов: VISAUAE2500029,Waiting for Pay,,aleksandr.bryukhanov,,,mariya.saveleva,06.04.2026 13:35,,,mariya.saveleva,,D_VISAUAE2500029/4,06.04.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117200,1255264,Выставление актов: CBQ2500003,Closed,,Alexandr.Voronkov,12.05.2026 10:16,Исправлено/Выполнено,ekaterina.fomina,03.04.2026 12:28,11.05.2026 00:00,,mariya.saveleva,,D_CBQ2500003/5,31.03.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117199,1255260,Выставление актов: CBQ2500003,Closed,,Alexandr.Voronkov,12.05.2026 10:16,Исправлено/Выполнено,ekaterina.fomina,03.04.2026 12:26,11.05.2026 00:00,,mariya.saveleva,,D_CBQ2500004/5,31.03.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-117189,1255220,Выставление актов: проценты по займу за март 2026 - ADM-51574,Waiting for Pay,отправлено,mariya.saveleva,,,mariya.saveleva,03.04.2026 11:56,,,mariya.saveleva,,-,31.03.2026 00:00,DBFZ - Databorn FZ LLC,
Подготовка актов и счетов,BUH-116922,1252803,Выставление актов: AVO2500008,Closed,,olga.zagarina,04.06.2026 10:27,Исправлено/Выполнено,n.chubukinasolovey,31.03.2026 10:47,19.05.2026 00:00,,n.chubukinasolovey,,D_AVO2500021/1,30.04.2026 00:00,DBFZ - Databorn FZ LLC,
